banktxn_id,created_at,client_id,bank_account_id,txn_date,txn_description,ai_fqn,ai_payee,status,pld_txn_id,confidence_fqn,confidence_payee,user_fqn,user_payee,match_fqn,match_payee,fqn_method,payee_method,check_num,txn_source,completed_at,source_file,source_user,commit_user,qbo_write_method,dup_match,txn_amount,reconcile,invoice_bill,qbo_id
31487,2025-05-05 14:29:33.849929+00,299,275,2024-12-23,COMCAST CALIFORNIA,Accounts Receivable (A/R),Amy's Bird Sanctuary,userreview,NULL,55,55,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,147.68,NULL,NULL,NULL
31490,2025-05-05 14:29:33.849929+00,299,275,2024-12-20,Uniqlo Canada HTC,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,50,50,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,-38.97,NULL,NULL,NULL
31491,2025-05-05 14:29:33.849929+00,299,275,2024-12-20,ARZ FINE FOODS,Bank Charges,Freeman Sporting Goods,userreview,NULL,82,82,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,80.55,NULL,NULL,NULL
31492,2025-05-05 14:29:33.849929+00,299,275,2024-12-18,WAL-MART SUPERCENTER#1061,Insurance:Workers Compensation,Red Rock Diner,userreview,NULL,52,52,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,111.87,NULL,NULL,NULL
31493,2025-05-05 14:29:34.445528+00,299,275,2024-12-17,KARACHI FOOD COURT,,Cara Mia,cleaned,NULL,43,53,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,1.76,NULL,NULL,NULL
31494,2025-05-05 14:29:34.445528+00,299,275,2024-12-17,KARACHI FOOD COURT,Meals and Entertainment,Cara Mia,cleaned,NULL,42,53,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,13.35,NULL,NULL,NULL
31495,2025-05-05 14:29:34.445528+00,299,275,2024-12-17,CLEO 444,Legal & Professional Fees,Pam Seitz,userreview,NULL,50,50,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,51.79,NULL,NULL,NULL
31496,2025-05-05 14:29:34.445528+00,299,275,2024-12-17,UBER* EATS,Meals and Entertainment,test,cleaned,NULL,46,50,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,14.70,NULL,NULL,NULL
31497,2025-05-05 14:29:34.445528+00,299,275,2024-12-14,IZI*MOMENTUM CAFE,Meals and Entertainment,Coffee Cafe,cleaned,NULL,42,58,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,10.53,NULL,NULL,NULL
31498,2025-05-05 14:29:34.445528+00,299,275,2024-12-14,IZI*RICO HALAL,,Hall Properties,cleaned,NULL,49,56,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,111.08,NULL,NULL,NULL
31499,2025-05-05 14:29:34.445528+00,299,275,2024-12-14,UBER* EATS,Meals and Entertainment,test,cleaned,NULL,43,50,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,29.00,NULL,NULL,NULL
31500,2025-05-05 14:29:34.445528+00,299,275,2024-12-13,RAINBOW ESSO,,USPS,cleaned,NULL,45,50,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142909,673,NULL,NULL,NULL,7.94,NULL,NULL,NULL
31506,2025-05-05 14:33:53.510268+00,299,276,2022-12-28,Check,NULL,NULL,userreview.check,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-15000.00,NULL,NULL,NULL
31507,2025-05-05 14:33:53.510268+00,299,276,2022-12-28,SBA LOAN PAYMENT 0000,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,57,57,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-50.00,NULL,NULL,NULL
31508,2025-05-05 14:33:53.510268+00,299,276,2022-12-22,Deposit,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,70,70,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,53620.60,NULL,NULL,NULL
31509,2025-05-05 14:33:53.510268+00,299,276,2022-12-15,AGCO FINANCE LLC ACH 001-0512986-000,Accounts Receivable (A/R),Cool Cars,userreview,NULL,55,55,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-1239.16,NULL,NULL,NULL
31511,2025-05-05 14:33:53.510268+00,299,276,2022-11-28,MARTINEZ AG SERV Bill Pay,Bank Charges,Cool Cars,userreview,NULL,63,63,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_143314,673,NULL,NULL,NULL,-3940.00,NULL,NULL,NULL
